cluster,pathway,go_min_level,go_max_level,selected_gene_count,mapped_selected_gene_count,background_size,pathway_size,overlap_count,overlap_genes,gene_ratio,p_value,adjusted_p_value,significant_fdr_0_05
0,GOBP_EOSINOPHIL_CHEMOTAXIS,6,9,75,74,18000,21,3,CCL5;CCL4;CCL3,0.04054054054054054,8.411233683260559e-5,0.0068262418360711475,TRUE
0,GOBP_GRANULOCYTE_ACTIVATION,5,6,75,74,18000,57,4,CCL5;FCER1G;TYROBP;CCL3,0.05405405405405406,8.815166214071917e-5,0.007043995894752236,TRUE
0,GOBP_CELLULAR_RESPONSE_TO_ALCOHOL,6,6,75,74,18000,112,5,KLF2;GNG2;BTG2;FOS;PTGER4,0.06756756756756757,9.75822099633918e-5,0.007679424220452379,TRUE
0,GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_APOPTOTIC_PROCESS,8,8,75,74,18000,59,4,CD74;CCL5;FCER1G;TSC22D3,0.05405405405405406,1.0093913095381796e-4,0.00777384022004095,TRUE
0,GOBP_REGULATION_OF_CELL_KILLING,5,5,75,74,18000,113,5,B2M;TYROBP;CX3CR1;PRF1;KLRD1,0.06756756756756757,1.0177534365860313e-4,0.00777384022004095,TRUE
0,GOBP_REGULATION_OF_NEURON_APOPTOTIC_PROCESS,7,7,75,74,18000,264,7,CX3CR1;CCL3;HIPK2;NR4A2;BTG2;MCL1;JUN,0.0945945945945946,1.0499931356586735e-4,0.007805820377485173,TRUE
0,GOBP_LYMPHOCYTE_MIGRATION,5,7,75,74,18000,114,5,CCL5;CCL4;CCL3;CD69;TBX21,0.06756756756756757,1.0610558500988158e-4,0.007805820377485173,TRUE
0,GOBP_RESPONSE_TO_OXYGEN_LEVELS,4,4,75,74,18000,357,8,ZEB2;CXCR4;JUND;HIPK2;NR4A2;MT-CO2;MT-CO1;FOS,0.10810810810810811,1.0670258891055975e-4,0.007805820377485173,TRUE
0,GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE,5,8,75,74,18000,184,6,B2M;GNLY;SPON2;CCL5;CCL4;CCL3,0.08108108108108109,1.0947615544181833e-4,0.007815025845834565,TRUE
0,GOBP_CELLULAR_RESPONSE_TO_KETONE,6,6,75,74,18000,115,5,KLF2;GNG2;BTG2;FOS;PTGER4,0.06756756756756757,1.1057597716918989e-4,0.007815025845834565,TRUE
0,GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_SURFACE,7,8,75,74,18000,23,3,FCER1G;TYROBP;CD247,0.04054054054054054,1.1134230123060413e-4,0.007815025845834565,TRUE
0,GOBP_HOMEOSTASIS_OF_NUMBER_OF_CELLS,4,4,75,74,18000,360,8,B2M;CD74;FCER1G;KLF2;TSC22D3;CX3CR1;ZFP36;HIPK2,0.10810810810810811,1.1305146667671657e-4,0.007829190905584878,TRUE
0,GOBP_RESPONSE_TO_ALCOHOL,5,5,75,74,18000,272,7,KLF2;CCL3;GNG2;FOSB;BTG2;FOS;PTGER4,0.0945945945945946,1.263742563460181e-4,0.008636682729752867,TRUE
0,GOBP_POSITIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,6,6,75,74,18000,276,7,B2M;SPON2;CD74;FCER1G;TYROBP;KLRD1;TBX21,0.0945945945945946,1.383172518853167e-4,0.009330127354445907,TRUE
0,GOBP_GRANULOCYTE_CHEMOTAXIS,5,8,75,74,18000,121,5,CD74;CCL5;FCER1G;CCL4;CCL3,0.06756756756756757,1.4051605931182635e-4,0.00935692835981572,TRUE
0,GOBP_REGULATION_OF_LYMPHOCYTE_CHEMOTAXIS,7,10,75,74,18000,25,3,CCL5;CCL4;CCL3,0.04054054054054054,1.4374867478943556e-4,0.009451020466535802,TRUE
0,GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY,5,7,75,74,18000,380,8,FCER1G;TYROBP;FCGR3A;KLRD1;TRBC1;TRDC;CD247;PIK3R1,0.10810810810810811,1.6387848297718356e-4,0.010639810507293642,TRUE
0,GOBP_NEGATIVE_REGULATION_OF_CELL_DEVELOPMENT,7,7,75,74,18000,286,7,B2M;CD74;CCL3;CD69;TBX21;BTG2;PIK3R1,0.0945945945945946,1.722291853917854e-4,0.011043930727468313,TRUE
0,GOBP_NEGATIVE_REGULATION_OF_HEMOPOIESIS,6,8,75,74,18000,128,5,CD74;CCL3;CD69;TBX21;PIK3R1,0.06756756756756757,1.82888893992918e-4,0.011584450187795319,TRUE
0,GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,4,8,75,74,18000,130,5,B2M;SPON2;CD74;FCER1G;TBX21,0.06756756756756757,1.9661906367200434e-4,0.01230408935798061,TRUE
0,GOBP_REGULATION_OF_MYELOID_LEUKOCYTE_DIFFERENTIATION,7,9,75,74,18000,132,5,CD74;TYROBP;CCL3;PIK3R1;FOS,0.06756756756756757,2.111221552539453e-4,0.013054386599868953,TRUE
0,GOBP_POSITIVE_REGULATION_OF_CELL_KILLING,6,6,75,74,18000,72,4,B2M;TYROBP;PRF1;KLRD1,0.05405405405405406,2.1915549046708493e-4,0.013235972296349293,TRUE
0,GOBP_REGULATION_OF_LYMPHOCYTE_MIGRATION,7,9,75,74,18000,72,4,CCL5;CCL4;CCL3;CD69,0.05405405405405406,2.1915549046708493e-4,0.013235972296349293,TRUE
0,GOBP_REGULATION_OF_T_HELPER_17_CELL_DIFFERENTIATION,7,14,75,74,18000,29,3,CD69;TBX21;JUNB,0.04054054054054054,2.2569178439303057e-4,0.013364335551648981,TRUE
0,GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE,6,9,75,74,18000,134,5,B2M;GNLY;CCL5;CCL4;CCL3,0.06756756756756757,2.2642694042069895e-4,0.013364335551648981,TRUE
0,GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION,6,10,75,74,18000,400,8,KLF2;TYROBP;CX3CR1;ZFP36;REL;TBX21;XAF1;PTGER4,0.10810810810810811,2.322471414550192e-4,0.013553838794577189,TRUE
0,GOBP_REGULATION_OF_T_CELL_ACTIVATION,7,8,75,74,18000,401,8,B2M;ACTB;CD74;CCL5;CD69;TBX21;JUNB;PRDM1,0.10810810810810811,2.3620118543686797e-4,0.013631432857323246,TRUE
