leiden_0_4,marker_direction,marker_rank,gene,scores,logfoldchanges,pvals_adj,pct_nz_group,pct_nz_reference
14,up,46,TIAM1,45.49858,2.2181737,0.0,0.1816454493634809,0.0461097435577851
14,up,47,GATA3,45.206337,1.7724812,0.0,0.4685540566216986,0.2123547190976225
14,up,48,MT-ND6,44.16993,1.7965223,0.0,0.5221356640699221,0.2614806967251425
14,up,49,RUNX2,43.889572,2.0379367,0.0,0.2084362530875926,0.0602685943975321
14,up,50,LTB,43.395935,1.7489021,0.0,0.5170055101653049,0.2454740909232542
14,down,1,CCL4,-65.760544,-4.4873652,0.0,0.1387041611248337,0.596248403078553
14,down,2,FGFBP2,-55.94815,-3.7218199,0.0,0.1457343720311609,0.5080516000373914
14,down,3,FCGR3A,-55.865723,-3.1236272,0.0,0.1894356830704921,0.5545165612438849
14,down,4,ALOX5AP,-51.63897,-3.060455,0.0,0.1461143834315029,0.4940423145234163
14,down,5,CCL3,-50.587635,-4.775039,0.0,0.0435113053391601,0.3882310784283177
14,down,6,SPON2,-49.783234,-3.04327,0.0,0.1776553296598898,0.4893652821487552
14,down,7,CCL5,-42.212612,-1.9044155,0.0,0.5052251567547026,0.6754775184619699
14,down,8,SYNE2,-40.17325,-2.334327,0.0,0.1824054721641649,0.4403483625712772
14,down,9,ZEB2,-39.777203,-2.1770554,0.0,0.2053961618848565,0.4521079363100987
14,down,10,GZMB,-38.049164,-1.4759412,0.0,0.6129583887516625,0.7645530177920419
14,down,11,S100A6,-37.241314,-1.3468466,3.6163441674341697e-302,0.5204256127683831,0.6637522201103044
14,down,12,LGALS1,-37.02652,-1.8688481,1.0458469842507026e-298,0.3384001520045601,0.5403109712398342
14,down,13,S100A4,-36.689754,-1.0909152,2.5331392030313705e-293,0.701121033631009,0.7696101953697068
14,down,14,PPP2R5C,-36.61906,-1.8390354,3.308710690841748e-292,0.2511875356260687,0.4679867883962235
14,down,15,TMSB4X,-34.15333,-0.17719918,2.5938536716504086e-254,0.999049971499145,0.9711120805160004
14,down,16,CCL4L2,-33.182686,-4.249355,3.905384854165755e-240,0.0205206156184685,0.2051568877948462
14,down,17,IKZF3,-32.5729,-2.1422842,1.8908348442196426e-231,0.1290138704161124,0.3273766865048453
14,down,18,S1PR5,-32.549633,-2.2238092,3.960742281851305e-231,0.1084932547976439,0.3072944255756707
14,down,19,PRF1,-32.462738,-0.7877971,6.631401528926065e-230,0.779023370701121,0.7894774561430842
